"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","zipkin2.server.internal.elasticsearch","..\data\repositories\openzipkin_zipkin\zipkin-server\src\test\java\zipkin2\server\internal\elasticsearch\ITElasticsearchAuth.java","4","23","Unused static import 'zipkin2.server.internal.elasticsearch.ZipkinElasticsearchStorageProperties.Ssl'","Code Style","UnnecessaryImport"
"2","zipkin2.server.internal.elasticsearch","..\data\repositories\openzipkin_zipkin\zipkin-server\src\test\java\zipkin2\server\internal\elasticsearch\ITElasticsearchAuth.java","1","25","The class name 'ITElasticsearchAuth' doesn't match '^Test.*$|^[A-Z][a-zA-Z0-9]*Test(s|Case)?$'","Code Style","ClassNamingConventions"
"1","zipkin2.server.internal.elasticsearch","..\data\repositories\openzipkin_zipkin\zipkin-server\src\test\java\zipkin2\server\internal\elasticsearch\ITElasticsearchClientInitialization.java","1","16","The class name 'ITElasticsearchClientInitialization' doesn't match '^Test.*$|^[A-Z][a-zA-Z0-9]*Test(s|Case)?$'","Code Style","ClassNamingConventions"
"1","zipkin2.server.internal.elasticsearch","..\data\repositories\openzipkin_zipkin\zipkin-server\src\test\java\zipkin2\server\internal\elasticsearch\ITElasticsearchDynamicCredentials.java","4","24","Unused static import 'zipkin2.server.internal.elasticsearch.ZipkinElasticsearchStorageProperties.Ssl'","Code Style","UnnecessaryImport"
"2","zipkin2.server.internal.elasticsearch","..\data\repositories\openzipkin_zipkin\zipkin-server\src\test\java\zipkin2\server\internal\elasticsearch\ITElasticsearchDynamicCredentials.java","1","26","The class name 'ITElasticsearchDynamicCredentials' doesn't match '^Test.*$|^[A-Z][a-zA-Z0-9]*Test(s|Case)?$'","Code Style","ClassNamingConventions"
"1","zipkin2.server.internal.elasticsearch","..\data\repositories\openzipkin_zipkin\zipkin-server\src\test\java\zipkin2\server\internal\elasticsearch\ITElasticsearchHealthCheck.java","1","37","The class name 'ITElasticsearchHealthCheck' doesn't match '^Test.*$|^[A-Z][a-zA-Z0-9]*Test(s|Case)?$'","Code Style","ClassNamingConventions"
"2","zipkin2.server.internal.elasticsearch","..\data\repositories\openzipkin_zipkin\zipkin-server\src\test\java\zipkin2\server\internal\elasticsearch\ITElasticsearchHealthCheck.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","zipkin2.server.internal.elasticsearch","..\data\repositories\openzipkin_zipkin\zipkin-server\src\test\java\zipkin2\server\internal\elasticsearch\ITElasticsearchNoVerify.java","1","24","The class name 'ITElasticsearchNoVerify' doesn't match '^Test.*$|^[A-Z][a-zA-Z0-9]*Test(s|Case)?$'","Code Style","ClassNamingConventions"
"1","zipkin2.server.internal.elasticsearch","..\data\repositories\openzipkin_zipkin\zipkin-server\src\test\java\zipkin2\server\internal\elasticsearch\ITElasticsearchSelfTracing.java","1","21","The class name 'ITElasticsearchSelfTracing' doesn't match '^Test.*$|^[A-Z][a-zA-Z0-9]*Test(s|Case)?$'","Code Style","ClassNamingConventions"
"1","zipkin2.server.internal.elasticsearch","..\data\repositories\openzipkin_zipkin\zipkin-server\src\test\java\zipkin2\server\internal\elasticsearch\ZipkinElasticsearchStorageConfigurationTest.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
