"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"14","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestMetricsBase.java","4","38","Unused static import 'com.zaxxer.hikari.pool.TestElf.newHikariConfig'","Code Style","UnnecessaryImport"
"15","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestMetricsBase.java","4","40","Unused static import 'com.zaxxer.hikari.util.UtilityElf.quietlySleep'","Code Style","UnnecessaryImport"
"16","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestMetricsBase.java","4","41","Unused static import 'org.junit.Assert.assertEquals'","Code Style","UnnecessaryImport"
"17","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestMetricsBase.java","4","42","Unused static import 'org.junit.Assert.assertTrue'","Code Style","UnnecessaryImport"
"18","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestMetricsBase.java","4","44","Unused static import 'org.junit.Assume.assumeFalse'","Code Style","UnnecessaryImport"
"19","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestMetricsBase.java","3","88","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"20","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestMetricsBase.java","3","115","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"21","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestMetricsBase.java","3","142","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestProxies.java","3","72","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestProxies.java","3","102","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"3","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestProxies.java","3","109","The method 'testStatementExceptions()' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"4","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestProxies.java","3","127","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"5","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestProxies.java","3","135","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"6","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestProxies.java","3","143","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"7","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestProxies.java","3","151","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"8","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestProxies.java","3","159","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"9","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestProxies.java","3","167","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"10","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestProxies.java","3","175","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"11","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestProxies.java","3","183","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"12","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestProxies.java","3","191","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"13","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestProxies.java","3","199","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"14","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestProxies.java","3","207","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"15","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestProxies.java","3","215","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"16","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestProxies.java","3","222","The method 'testOtherExceptions()' has a cyclomatic complexity of 12.","Design","CyclomaticComplexity"
"17","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestProxies.java","3","239","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"18","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestProxies.java","3","247","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"19","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestProxies.java","3","255","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"20","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestProxies.java","3","263","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"21","com.zaxxer.hikari.pool","..\data\repositories\brettwooldridge_HikariCP\src\test\java\com\zaxxer\hikari\pool\TestProxies.java","3","271","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
