"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"2","org.cryptomator.ui.eventview","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\eventview\EventListCellController.java","3","50","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.cryptomator.ui.fxapp","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\fxapp\FxApplicationModule.java","4","24","Unused import 'javax.inject.Named'","Code Style","UnnecessaryImport"
"2","org.cryptomator.ui.fxapp","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\fxapp\FxApplicationModule.java","4","25","Unused import 'javafx.beans.property.BooleanProperty'","Code Style","UnnecessaryImport"
"3","org.cryptomator.ui.fxapp","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\fxapp\FxApplicationModule.java","4","26","Unused import 'javafx.beans.property.SimpleBooleanProperty'","Code Style","UnnecessaryImport"
"1","org.cryptomator.ui.fxapp","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\fxapp\FxApplicationWindows.java","3","43","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.cryptomator.ui.fxapp","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\fxapp\UpdateChecker.java","3","25","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.cryptomator.ui.health","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\health\CheckDetailController.java","3","40","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.cryptomator.ui.health","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\health\HealthCheckComponent.java","4","7","Unused import 'org.cryptomator.cryptofs.VaultConfig'","Code Style","UnnecessaryImport"
"1","org.cryptomator.ui.health","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\health\HealthCheckModule.java","4","29","Unused import 'java.io.IOException'","Code Style","UnnecessaryImport"
"2","org.cryptomator.ui.health","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\health\HealthCheckModule.java","3","37","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.cryptomator.ui.health","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\health\ReportWriter.java","3","57","The method 'writeReport(Collection<Check>)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"1","org.cryptomator.ui.health","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\health\ResultListCellController.java","4","11","Unused import 'org.slf4j.Logger'","Code Style","UnnecessaryImport"
"2","org.cryptomator.ui.health","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\health\ResultListCellController.java","4","12","Unused import 'org.slf4j.LoggerFactory'","Code Style","UnnecessaryImport"
"3","org.cryptomator.ui.health","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\health\ResultListCellController.java","3","29","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.cryptomator.ui.keyloading","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\keyloading\KeyLoadingComponent.java","4","6","Unused import 'org.cryptomator.cryptolib.api.MasterkeyLoader'","Code Style","UnnecessaryImport"
"2","org.cryptomator.ui.keyloading","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\keyloading\KeyLoadingComponent.java","4","9","Unused import 'java.util.Map'","Code Style","UnnecessaryImport"
"3","org.cryptomator.ui.keyloading","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\keyloading\KeyLoadingComponent.java","4","10","Unused import 'java.util.function.Supplier'","Code Style","UnnecessaryImport"
"1","org.cryptomator.ui.keyloading.hub","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\keyloading\hub\AuthFlowController.java","4","3","Unused import 'com.nimbusds.jose.JWEObject'","Code Style","UnnecessaryImport"
"2","org.cryptomator.ui.keyloading.hub","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\keyloading\hub\AuthFlowController.java","4","15","Unused import 'javafx.beans.binding.Bindings'","Code Style","UnnecessaryImport"
"3","org.cryptomator.ui.keyloading.hub","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\keyloading\hub\AuthFlowController.java","4","16","Unused import 'javafx.beans.binding.StringBinding'","Code Style","UnnecessaryImport"
"1","org.cryptomator.ui.keyloading.hub","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\keyloading\hub\HubKeyLoadingModule.java","3","31","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.cryptomator.ui.keyloading.hub","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\keyloading\hub\HubKeyLoadingStrategy.java","3","54","The method 'loadKey(URI)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"1","org.cryptomator.ui.keyloading.hub","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\keyloading\hub\ReceiveKeyController.java","3","41","Possible God Class (WMC=50, ATFD=16, TCC=18.182%)","Design","GodClass"
"2","org.cryptomator.ui.keyloading.hub","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\keyloading\hub\ReceiveKeyController.java","3","41","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"1","org.cryptomator.ui.keyloading.hub","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\keyloading\hub\RequireAccountInitController.java","4","9","Unused import 'javafx.event.ActionEvent'","Code Style","UnnecessaryImport"
"1","org.cryptomator.ui.keyloading.hub","..\data\repositories\cryptomator_cryptomator\src\main\java\org\cryptomator\ui\keyloading\hub\UnauthorizedDeviceController.java","4","3","Unused import 'com.nimbusds.jose.JWEObject'","Code Style","UnnecessaryImport"
